Release Date,Language,Set / Source,Card #,1st Ed?,Variant / Stamp / Code,Error / Notes
1999,English,Base Set,68/102,Yes,Shadowless,
1999,English,Base Set,68/102,Yes,Shadowless 2D Thick Stamp,Blue Ink Drop Error
1999,English,Base Set,68/102,Yes,Shadowless Thin Stamp,Error
1999,English,Base Set,68/102,Yes,Shadowless Grey Stamp,Error
1999,English,Base Set,68/102,No,Shadowless,
1999,English,Base Set,68/102,No,Shadowless,Blue Ink Drop Error
1999,English,Base Set (Unlimited),68/102,No,©1999,
1999,English,Base Set (UK/4th Print),68/102,No,©1999-2000,
2000,English,Base Set 2,99/130,No,Non-Holo,
2002,English,Legendary Collection,98/110,No,Non-Holo,
2002,English,Legendary Collection,98/110,No,Reverse Foil,
2016,English,XY Evolutions,14/108,No,Non-Holo,
2016,English,XY Evolutions,14/108,No,Reverse Holo,
1996,Japanese,Expansion Pack,,No,No Rarity Symbol,
1996,Japanese,Expansion Pack,,No,With Rarity Symbol,
2016,Japanese,20th Anniversary,014/087,Yes,Non-Holo,
1999,Dutch,Base Set,68/102,Yes,Non-Holo,
1999,Dutch,Base Set,68/102,No,Non-Holo,
1999,German,Base Set,68/102,Yes,Non-Holo,
1999,German,Base Set,68/102,No,Non-Holo,
2016,German,XY Evolutions,14/108,No,Non-Holo,
2016,German,XY Evolutions,14/108,No,Reverse Holo,
1999,French,Base Set,68/102,Yes,Non-Holo,
1999,French,Base Set,68/102,No,Non-Holo,
2016,French,XY Evolutions,14/108,No,Non-Holo,
2016,French,XY Evolutions,14/108,No,Reverse Holo,
1999,Italian,Base Set,68/102,Yes,Non-Holo,
1999,Italian,Base Set,68/102,No,Non-Holo,
2016,Italian,XY Evolutions,14/108,No,Non-Holo,
2016,Italian,XY Evolutions,14/108,No,Reverse Holo,
1999,Spanish,Base Set,68/102,Yes,©1999,
1999,Spanish,Base Set,68/102,Yes,©1999-2000,
1999,Spanish,Base Set,68/102,No,©1999,
1999,Spanish,Base Set,68/102,No,©1999-2000,
2016,Spanish,XY Evolutions,14/108,No,Non-Holo,
2016,Spanish,XY Evolutions,14/108,No,Reverse Holo,
1999,Portuguese,Base Set,68/102,Yes,Non-Holo,
1999,Portuguese,Base Set,68/102,No,Non-Holo,
1999,Korean,Base Set,68/102,Yes,Non-Holo,
1999,Korean,Base Set,68/102,No,Non-Holo,
2016,Korean,20th Anniversary,14/100,No,Non-Holo,
1999,T. Chinese,Base Set,68/102,Yes,Non-Holo,
1999,T. Chinese,Base Set,68/102,No,Non-Holo,
1998,Japanese,Vending Series 3 (Green),,No,Glossy,Light Print Run
1998,Japanese,Vending Series 3 (Green),,No,Glossy,Dark Print Run
1998,Japanese,Quick Starter Gift Set,,No,Green Deck,
2000,English,Gym Heroes,65/132,Yes,Blaine's Vulpix,
2000,English,Gym Heroes,65/132,Yes,Blaine's Vulpix,Grey Stamp Error
2000,English,Gym Heroes,65/132,No,Blaine's Vulpix,
1999,Japanese,Challenge from Darkness,,No,With Rarity Symbol,
1998,Japanese,Guren Town Gym,,No,No Rarity Symbol,
2000,English,Gym Heroes,73/132,Yes,Brock's Vulpix,
2000,English,Gym Heroes,73/132,Yes,Brock's Vulpix,Grey Stamp Error
2000,English,Gym Heroes,73/132,No,Brock's Vulpix,
1998,Japanese,Leaders' Stadium,,No,With Rarity Symbol,
1998,Japanese,Nivi City Gym,,No,No Rarity Symbol,
2000,English,Gym Challenge,37/132,Yes,Brock's Vulpix,
2000,English,Gym Challenge,37/132,No,Brock's Vulpix,
2000,English,Gym Challenge,37/132,No,Brock's Vulpix,W Stamp
2000,English,Gym Challenge,66/132,Yes,Blaine's Vulpix,
2000,English,Gym Challenge,66/132,No,Blaine's Vulpix,
2001,Japanese,Pokémon Web,008/048,Yes,Non-Holo,
2001,Japanese,Pokémon Web,008/048,No,Non-Holo,
2002,English,Neo Destiny,90/105,Yes,Non-Holo,
2002,English,Neo Destiny,90/105,No,Non-Holo,
2001,Japanese,Darkness and to Light,,No,Non-Holo,
2002,German,Neo Destiny,90/105,Yes,Non-Holo,
2002,German,Neo Destiny,90/105,No,Non-Holo,
2002,French,Neo Destiny,90/105,Yes,Non-Holo,
2002,French,Neo Destiny,90/105,No,Non-Holo,
2002,Italian,Neo Destiny,90/105,Yes,Non-Holo,
2002,Italian,Neo Destiny,90/105,No,Non-Holo,
2002,English,Expedition Base Set,136/165,No,Non-Holo,
2002,English,Expedition Base Set,136/165,No,Reverse Holo,
2001,Japanese,Base Expansion Pack,006/128,Yes,Non-Holo,
2002,German,Expedition Base Set,136/165,No,Non-Holo,
2002,German,Expedition Base Set,136/165,No,Reverse Holo,
2002,French,Expedition Base Set,136/165,No,Non-Holo,
2002,French,Expedition Base Set,136/165,No,Reverse Holo,
2002,Italian,Expedition Base Set,136/165,No,Non-Holo,
2002,Italian,Expedition Base Set,136/165,No,Reverse Holo,
2002,Japanese,McDonald's Minimum Pack,005/018,No,Non-Holo,
2003,English,Aquapolis,116/147,No,Non-Holo,
2003,English,Aquapolis,116/147,No,Reverse Holo,
2002,Japanese,Wind from the Sea,021/087,Yes,Non-Holo,
2002,Japanese,Wind from the Sea,021/087,No,Non-Holo,
2003,German,Aquapolis,116/147,No,Non-Holo,
2003,German,Aquapolis,116/147,No,Reverse Holo,
2003,French,Aquapolis,116/147,No,Non-Holo,
2003,French,Aquapolis,116/147,No,Reverse Holo,
2003,Italian,Aquapolis,116/147,No,Non-Holo,
2003,Italian,Aquapolis,116/147,No,Reverse Holo,
2004,English,EX Hidden Legends,81/101,No,Non-Holo,
2004,English,EX Hidden Legends,81/101,No,Reverse Holofoil,
2004,Japanese,Undone Seal,016/083,Yes,Non-Holo,
2004,Japanese,Undone Seal,016/083,No,Non-Holo,
2004,French,EX Hidden Legends,81/101,No,Non-Holo,
2004,French,EX Hidden Legends,81/101,No,Reverse Holofoil,
2004,Italian,EX Hidden Legends,81/101,No,Non-Holo,
2004,Italian,EX Hidden Legends,81/101,No,Reverse Holofoil,
2005,English,EX Emerald,72/106,No,Non-Holo,
2005,English,EX Emerald,72/106,No,Reverse Holofoil,
2006,English,EX Trainer Kit 2,7/12,No,Minun Half Deck,
2005,Japanese,Fire Quick Construction Pack,,No,Non-Holo,
2005,German,EX Emerald,72/106,No,Non-Holo,
2005,German,EX Emerald,72/106,No,Reverse Holofoil,
2006,German,EX Trainer Kit 2,7/12,No,Minun Half Deck,
